"opt_func","seed","rob_beta","map_size","valid_preds","total_counterexamples","relative_error","runtime","accuracy"
"AT","42","0.1","22","9691","2","0.000357525920629246","560.80451130867","0.759777112785058"
"AT","42","0.2","24","9735","7","0.014792899408284","638.727821826935","0.666769388803287"
"AT","42","0.5","33","9754","0","0","833.484405755997","0.686487594832889"
"AT","42","1","31","9738","5","0.00216919739696312","891.516919136047","0.811254877798316"
"AT","42","2","29","9770","0","0","1086.85859036446","0.786386898669396"
"AT","666","0.1","19","9728","2","0.00099502487562189","595.798416137695","0.818153782894737"
"AT","666","0.2","20","9727","2","0.00027359781121751","607.865236997604","0.644494705459032"
"AT","666","0.5","31","9717","0","0","946.614506006241","0.723062673664711"
"AT","666","1","38","9800","0","0","1024.93793272972","0.700408163265306"
"AT","666","2","42","9746","2","0.000501002004008016","1165.22208762169","0.81941309255079"
"AT","69","0.1","29","9771","8","0.00248756218905473","607.524206876755","0.665336198956095"
"AT","69","0.2","21","9717","1","0.000395882818685669","666.197960615158","0.632396830297417"
"AT","69","0.5","22","9672","3","0.000856898029134533","591.402977466583","0.83085194375517"
"AT","69","1","29","9738","2","0.00249376558603491","944.939074039459","0.812795235161224"
"AT","69","2","36","9785","2","0.00518134715025907","1184.46833395958","0.789269289729177"
"Standard","42","0.1","12","9708","0","0","344.893171072006","0.704882571075402"
"Standard","666","0.1","12","9564","0","0","331.307745218277","0.749581764951903"
"Standard","666","0.2","13","9754","1","0.000255297421496043","598.87456202507","0.484006561410703"
"Standard","69","0.1","15","9694","2","0.00199600798403194","423.122875928879","0.476067670724159"
