"problem","architecture","training","seed","rob_beta","oracle","sampling_beta","map_size","valid_preds","total_counterexamples","relative_error","runtime","accuracy"
"CIFAR10","resnet20","Standard","0","6","PGD","10","3","9081","7","0.0011844331641286","356.774610280991","0.902213412619756"
"CIFAR10","resnet20","Standard","0","6","PGD","20","3","9081","8","0.00134748189321206","326.186531066895","0.902213412619756"
"CIFAR10","resnet20","Standard","0","6","PGD","30","3","9081","7","0.0011844331641286","322.996546030045","0.902213412619756"
"CIFAR10","resnet20","Standard","0","6","PGD","40","3","9081","5","0.000856457690990065","324.005815982819","0.902213412619756"
"CIFAR10","resnet20","Standard","0","6","PGD","50","3","9081","2","0.000359130903214222","342.462740421295","0.902213412619756"
"CIFAR10","resnet20","Standard","1","6","PGD","10","3","10000","1","0.000196772924045651","336.096709728241","0.9106"
"CIFAR10","resnet20","Standard","1","6","PGD","20","3","10000","2","0.00036330608537693","271.337247848511","0.9106"
"CIFAR10","resnet20","Standard","1","6","PGD","30","3","10000","1","0.000196772924045651","240.152431726456","0.9106"
"CIFAR10","resnet20","Standard","1","6","PGD","40","3","10000","2","0.00036330608537693","262.081084251404","0.9106"
"CIFAR10","resnet20","Standard","1","6","PGD","50","3","10000","1","0.000196772924045651","259.755767822266","0.9106"
"CIFAR10","resnet20","Standard","2","6","PGD","10","3","9087","3","0.00056232427366448","267.0298640728","0.903598547375371"
"CIFAR10","resnet20","Standard","2","6","PGD","20","3","10000","6","0.00110803324099723","252.264246225357","0.9124"
"CIFAR10","resnet20","Standard","2","6","PGD","30","3","9087","6","0.00110803324099723","265.994655132294","0.903598547375371"
"CIFAR10","resnet20","Standard","2","6","PGD","40","3","10000","6","0.00110803324099723","266.592425346375","0.9124"
"CIFAR10","resnet20","Standard","2","6","PGD","50","3","9087","6","0.00110803324099723","260.905440092087","0.903598547375371"
"CIFAR10","resnet20","Standard","3","6","PGD","10","3","10000","2","0.000340889722174876","251.604748010635","0.9092"
"CIFAR10","resnet20","Standard","3","6","PGD","20","3","10000","2","0.000340889722174876","238.78088927269","0.9092"
"CIFAR10","resnet20","Standard","3","6","PGD","30","3","10000","3","0.000488599348534202","239.891554355621","0.9092"
"CIFAR10","resnet20","Standard","3","6","PGD","40","3","10000","2","0.000340889722174876","246.422010183334","0.9092"
"CIFAR10","resnet20","Standard","3","6","PGD","50","3","10000","2","0.000340889722174876","250.280313968658","0.9092"
"CIFAR10","resnet20","Standard","4","6","PGD","10","3","10000","0","0","249.548379182816","0.913"
"CIFAR10","resnet20","Standard","4","6","PGD","20","3","10000","0","0","246.892394781113","0.913"
"CIFAR10","resnet20","Standard","4","6","PGD","30","3","10000","2","0.000353481795687522","245.13216137886","0.913"
"CIFAR10","resnet20","Standard","4","6","PGD","40","3","10000","0","0","250.211566209793","0.913"
"CIFAR10","resnet20","Standard","4","6","PGD","50","3","10000","2","0.000353481795687522","249.901655673981","0.913"
"CIFAR10","resnet20","TRADES","0","6","PGD","10","42","9882","0","0","7888.70409917831","0.671422788909128"
"CIFAR10","resnet20","TRADES","0","6","PGD","20","37","9887","0","0","7889.86252641678","0.67148781227875"
"CIFAR10","resnet20","TRADES","0","6","PGD","30","38","9886","1","0.00055005500550055","8009.31603360176","0.671454582237508"
"CIFAR10","resnet20","TRADES","0","6","PGD","40","37","9886","0","0","7998.54284095764","0.671454582237508"
"CIFAR10","resnet20","TRADES","0","6","PGD","50","36","9884","1","0.00055005500550055","7882.95434713364","0.671388101983003"
"CIFAR10","resnet20","TRADES","1","6","PGD","10","31","9810","0","0","8258.26957511902","0.666768603465851"
"CIFAR10","resnet20","TRADES","1","6","PGD","20","24","9813","3","0.00106044538706257","8260.92107629776","0.66687047793743"
"CIFAR10","resnet20","TRADES","1","6","PGD","30","36","9814","0","0","8133.51572990417","0.666904422253923"
"CIFAR10","resnet20","TRADES","1","6","PGD","40","29","9813","0","0","8197.72027587891","0.66687047793743"
"CIFAR10","resnet20","TRADES","1","6","PGD","50","27","9811","4","0.00151438667339727","8147.55624842644","0.66680256854551"
"CIFAR10","resnet20","TRADES","2","6","PGD","10","35","9902","1","0.000526038926880589","8327.98977947235","0.682185417087457"
"CIFAR10","resnet20","TRADES","2","6","PGD","20","27","9905","0","0","8392.74556565285","0.682281675921252"
"CIFAR10","resnet20","TRADES","2","6","PGD","30","37","9902","1","0.000526038926880589","8421.43846344948","0.682185417087457"
"CIFAR10","resnet20","TRADES","2","6","PGD","40","38","9898","1","0.000526038926880589","8243.40548419952","0.682056981208325"
"CIFAR10","resnet20","TRADES","2","6","PGD","50","41","9902","1","0.000526038926880589","8261.06126332283","0.682185417087457"
"CIFAR10","resnet20","TRADES","3","6","PGD","10","35","9872","1","0.000528262017960909","8183.7921640873","0.668962722852512"
"CIFAR10","resnet20","TRADES","3","6","PGD","20","34","9880","1","0.000455373406193078","8088.81103539467","0.669230769230769"
"CIFAR10","resnet20","TRADES","3","6","PGD","30","38","9881","0","0","7997.13121175766","0.669264244509665"
"CIFAR10","resnet20","TRADES","3","6","PGD","40","38","9876","3","0.0010515247108307","8102.67866969109","0.669096800324018"
"CIFAR10","resnet20","TRADES","3","6","PGD","50","33","9880","1","0.000528262017960909","8075.40305018425","0.669230769230769"
"CIFAR10","resnet20","TRADES","4","6","PGD","10","40","9910","0","0","7442.66397833824","0.674167507568113"
