"problem","architecture","training","seed","rob_beta","oracle","sampling_beta","map_size","valid_preds","total_counterexamples","relative_error","runtime","accuracy"
"CIFAR10","vgg11","Standard","0","6","PGD","10","5","10000","0","0","2788.86477613449","0.9052"
"CIFAR10","vgg11","Standard","0","6","PGD","20","4","10000","0","0","2711.27913141251","0.9052"
"CIFAR10","vgg11","Standard","0","6","PGD","30","4","10000","0","0","2773.48014307022","0.9052"
"CIFAR10","vgg11","Standard","0","6","PGD","40","4","10000","0","0","2693.9450173378","0.9052"
"CIFAR10","vgg11","Standard","0","6","PGD","50","4","10000","0","0","2819.94518446922","0.9052"
"CIFAR10","vgg11","Standard","1","6","PGD","10","5","10000","0","0","2267.82227540016","0.9053"
"CIFAR10","vgg11","Standard","1","6","PGD","20","4","10000","0","0","2172.13061451912","0.9053"
"CIFAR10","vgg11","Standard","1","6","PGD","30","4","10000","0","0","2102.34564399719","0.9053"
"CIFAR10","vgg11","Standard","1","6","PGD","40","4","10000","0","0","2206.46425199509","0.9053"
"CIFAR10","vgg11","Standard","1","6","PGD","50","4","10000","0","0","2229.33783578873","0.9053"
"CIFAR10","vgg11","Standard","2","6","PGD","10","5","10000","0","0","2157.08581757545","0.9047"
"CIFAR10","vgg11","Standard","2","6","PGD","20","4","10000","0","0","2199.38854336739","0.9047"
"CIFAR10","vgg11","Standard","2","6","PGD","30","4","10000","0","0","2156.96939635277","0.9047"
"CIFAR10","vgg11","Standard","2","6","PGD","40","5","10000","0","0","2211.63667201996","0.9047"
"CIFAR10","vgg11","Standard","2","6","PGD","50","5","10000","0","0","2141.07386183739","0.9047"
"CIFAR10","vgg11","Standard","3","6","PGD","10","5","10000","0","0","2144.1008617878","0.9047"
"CIFAR10","vgg11","Standard","3","6","PGD","20","5","10000","0","0","2175.48042082787","0.9047"
"CIFAR10","vgg11","Standard","3","6","PGD","30","5","10000","0","0","2177.57588195801","0.9047"
"CIFAR10","vgg11","Standard","3","6","PGD","40","5","10000","0","0","2216.38822865486","0.9047"
"CIFAR10","vgg11","Standard","3","6","PGD","50","5","10000","0","0","2177.33289027214","0.9047"
"CIFAR10","vgg11","Standard","4","6","PGD","10","5","10000","0","0","2392.73299455643","0.9048"
"CIFAR10","vgg11","Standard","4","6","PGD","20","4","10000","0","0","2246.96410155296","0.9048"
"CIFAR10","vgg11","Standard","4","6","PGD","30","4","10000","0","0","2337.38405895233","0.9048"
"CIFAR10","vgg11","Standard","4","6","PGD","40","4","10000","0","0","2344.5059223175","0.9048"
"CIFAR10","vgg11","Standard","4","6","PGD","50","4","10000","0","0","2324.90244340897","0.9048"
"CIFAR10","vgg11","TRADES","0","6","PGD","10","40","9810","2","0.00717703349282297","18538.2659425735","0.771151885830785"
"CIFAR10","vgg11","TRADES","0","6","PGD","20","40","9812","4","0.00921658986175115","18584.5381178856","0.771198532409295"
"CIFAR10","vgg11","TRADES","0","6","PGD","30","45","9835","6","0.0154639175257732","18516.6467721462","0.771733604473818"
"CIFAR10","vgg11","TRADES","0","6","PGD","40","38","9826","3","0.00717703349282297","18669.3804051876","0.771524526765724"
"CIFAR10","vgg11","TRADES","0","6","PGD","50","47","9811","8","0.00671140939597315","18662.412083149","0.771175211497299"
"CIFAR10","vgg11","TRADES","1","6","PGD","10","38","9814","8","0.00560224089635854","18672.2121007442","0.781638475647035"
"CIFAR10","vgg11","TRADES","1","6","PGD","20","41","9803","9","0.00396825396825397","18561.0491416454","0.781393450984393"
"CIFAR10","vgg11","TRADES","1","6","PGD","30","38","9816","11","0.00396825396825397","18789.587552309","0.781682966585167"
"CIFAR10","vgg11","TRADES","1","6","PGD","40","36","9805","5","0.00396825396825397","18954.3107357025","0.7814380418154"
