"problem","architecture","training","seed","rob_beta","oracle","sampling_beta","map_size","valid_preds","total_counterexamples","relative_error","runtime","accuracy"
"MNIST","convBig","Standard","0","6","LiRPA","10","5","10000","0","0","15040.4576776028","0.9869"
"MNIST","convBig","Standard","0","6","LiRPA","20","5","10000","0","0","14888.4082622528","0.9869"
"MNIST","convBig","Standard","0","6","LiRPA","30","5","10000","0","0","14860.5462296009","0.9869"
"MNIST","convBig","Standard","1","6","LiRPA","10","5","10000","0","0","15291.9419033527","0.9885"
"MNIST","convBig","Standard","1","6","LiRPA","20","5","10000","0","0","15237.221916914","0.9885"
"MNIST","convBig","Standard","1","6","LiRPA","30","5","10000","0","0","15221.7062160969","0.9885"
"MNIST","convBig","Standard","2","6","LiRPA","10","5","10000","0","0","13895.8677811623","0.9881"
"MNIST","convBig","Standard","2","6","LiRPA","20","5","10000","0","0","13802.8766140938","0.9881"
"MNIST","convBig","Standard","2","6","LiRPA","30","5","10000","0","0","13983.8059401512","0.9881"
"MNIST","convBig","Standard","3","6","LiRPA","10","5","10000","0","0","15456.9806988239","0.9868"
"MNIST","convBig","Standard","3","6","LiRPA","20","5","10000","0","0","15462.2598705292","0.9868"
"MNIST","convBig","Standard","3","6","LiRPA","30","5","10000","0","0","15396.555655241","0.9868"
"MNIST","convBig","Standard","4","6","LiRPA","10","6","10000","0","0","13935.7334008217","0.9874"
"MNIST","convBig","Standard","4","6","LiRPA","20","6","10000","0","0","14045.2836999893","0.9874"
"MNIST","convBig","Standard","4","6","LiRPA","30","5","10000","0","0","13885.2976229191","0.9874"
"MNIST","convBig","TRADES","0","6","LiRPA","10","4","2100","38","0.00237137849262811","15539.044952631","0.93952380952381"
"MNIST","convBig","TRADES","0","6","LiRPA","20","4","2118","40","0.003387394785465","15489.8470971584","0.940037771482531"
"MNIST","convBig","TRADES","0","6","LiRPA","30","4","2128","42","0.00318536785861077","15574.4316601753","0.94031954887218"
"MNIST","convBig","TRADES","1","6","LiRPA","10","3","1575","14","0.00161926930472624","15243.0827367306","0.915555555555556"
"MNIST","convBig","TRADES","1","6","LiRPA","20","3","1585","15","0.00161926930472624","15190.1537292004","0.91608832807571"
"MNIST","convBig","TRADES","1","6","LiRPA","30","3","1577","14","0.00161926930472624","15292.6984870434","0.91566265060241"
"MNIST","convBig","TRADES","2","6","LiRPA","10","3","1136","21","0.00262414210738797","16362.4507470131","0.898767605633803"
"MNIST","convBig","TRADES","2","6","LiRPA","20","3","1148","25","0.00292220878677952","16267.0031590462","0.899825783972125"
"MNIST","convBig","TRADES","2","6","LiRPA","30","4","1157","44","0.00272342142424854","16336.612285614","0.900605012964564"
"MNIST","convBig","TRADES","3","6","LiRPA","10","3","1257","18","0.00182537268025555","13651.1007544994","0.900556881463803"
"MNIST","convBig","TRADES","3","6","LiRPA","20","3","1269","17","0.00172781786766948","13567.2257051468","0.901497241922774"
"MNIST","convBig","TRADES","3","6","LiRPA","30","3","1270","20","0.00212765957446809","13545.9880056381","0.901574803149606"
"MNIST","convBig","TRADES","4","6","LiRPA","10","4","3793","23","0.00236918005768438","13194.4174818993","0.962035328236225"
"MNIST","convBig","TRADES","4","6","LiRPA","20","4","3650","21","0.00216561823244302","13268.5546472073","0.960547945205479"
"MNIST","convBig","TRADES","4","6","LiRPA","30","4","3718","30","0.00186065743229274","13288.1485273838","0.961269499731038"
