"problem","architecture","training","seed","rob_beta","oracle","sampling_beta","map_size","valid_preds","total_counterexamples","relative_error","runtime","accuracy"
"MNIST","feed","Standard","0","6","LiRPA","10","14","9100","0","0","500.668196439743","0.976263736263736"
"MNIST","feed","Standard","0","6","LiRPA","20","14","9130","0","0","499.469706296921","0.976341730558598"
"MNIST","feed","Standard","0","6","LiRPA","30","14","9143","0","0","501.676876544952","0.976375369134857"
"MNIST","feed","Standard","0","6","LiRPA","40","14","9115","0","0","497.307869195938","0.976302797586396"
"MNIST","feed","Standard","0","6","LiRPA","50","14","9143","0","0","498.024321079254","0.976375369134857"
"MNIST","feed","Standard","0","6","PGD","10","42","9852","1","0.000103167234086454","9.14326405525208","0.978075517661389"
"MNIST","feed","Standard","0","6","PGD","20","42","9852","2","0.000179147259046937","9.65744090080261","0.978075517661389"
"MNIST","feed","Standard","0","6","PGD","30","43","9852","1","0.000103167234086454","9.46742486953735","0.978075517661389"
"MNIST","feed","Standard","0","6","PGD","40","42","9852","1","0.000103167234086454","9.6732177734375","0.978075517661389"
"MNIST","feed","Standard","0","6","PGD","50","42","9852","1","0.000103167234086454","9.87423348426819","0.978075517661389"
"MNIST","feed","Standard","1","6","LiRPA","10","13","9145","0","0","498.798364639282","0.978239475123018"
"MNIST","feed","Standard","1","6","LiRPA","20","14","9159","0","0","498.936358690262","0.978272737198384"
"MNIST","feed","Standard","1","6","LiRPA","30","14","9177","0","0","498.145058631897","0.978315353601395"
"MNIST","feed","Standard","1","6","LiRPA","40","14","9177","0","0","497.417299985886","0.978315353601395"
"MNIST","feed","Standard","1","6","LiRPA","50","15","9159","0","0","496.276040554047","0.978272737198384"
"MNIST","feed","Standard","1","6","PGD","10","45","9822","0","0","9.64589810371399","0.979739360619019"
"MNIST","feed","Standard","1","6","PGD","20","46","9822","0","0","9.65001821517944","0.979739360619019"
"MNIST","feed","Standard","1","6","PGD","30","45","9822","0","0","9.6627893447876","0.979739360619019"
"MNIST","feed","Standard","1","6","PGD","40","45","9822","0","0","9.91702318191528","0.979739360619019"
"MNIST","feed","Standard","1","6","PGD","50","46","9822","0","0","9.83775329589844","0.979739360619019"
"MNIST","feed","Standard","2","6","LiRPA","10","14","9165","0","0","498.482819795609","0.974358974358974"
"MNIST","feed","Standard","2","6","LiRPA","20","15","9165","0","0","500.992946147919","0.974358974358974"
"MNIST","feed","Standard","2","6","LiRPA","30","14","9124","0","0","499.581700563431","0.974243752740026"
"MNIST","feed","Standard","2","6","LiRPA","40","13","9179","0","0","498.3235039711","0.974398082579802"
"MNIST","feed","Standard","2","6","LiRPA","50","14","9165","0","0","498.199166059494","0.974358974358974"
"MNIST","feed","Standard","2","6","PGD","10","40","9840","0","0","8.9956157207489","0.976117886178862"
"MNIST","feed","Standard","2","6","PGD","20","39","9840","0","0","9.15173125267029","0.976117886178862"
"MNIST","feed","Standard","2","6","PGD","30","40","9840","0","0","9.4739294052124","0.976117886178862"
"MNIST","feed","Standard","2","6","PGD","40","40","9840","0","0","9.23506641387939","0.976117886178862"
"MNIST","feed","Standard","2","6","PGD","50","42","9840","0","0","9.50979495048523","0.976117886178862"
"MNIST","feed","Standard","3","6","LiRPA","10","14","9199","0","0","497.884145975113","0.976845309272747"
"MNIST","feed","Standard","3","6","LiRPA","20","13","9199","0","0","499.747364521027","0.976845309272747"
"MNIST","feed","Standard","3","6","LiRPA","30","13","9212","0","0","499.998898267746","0.976877985236648"
"MNIST","feed","Standard","3","6","LiRPA","40","14","9224","0","0","497.63752579689","0.976908065915004"
"MNIST","feed","Standard","3","6","LiRPA","50","13","9199","0","0","498.303658246994","0.976845309272747"
"MNIST","feed","Standard","3","6","PGD","10","39","9862","0","0","9.47539067268372","0.978401946866761"
"MNIST","feed","Standard","3","6","PGD","20","39","9862","0","0","9.50385737419128","0.978401946866761"
"MNIST","feed","Standard","3","6","PGD","30","39","9862","0","0","9.50826907157898","0.978401946866761"
"MNIST","feed","Standard","3","6","PGD","40","39","9862","0","0","9.71224093437195","0.978401946866761"
"MNIST","feed","Standard","3","6","PGD","50","40","9862","0","0","9.62530088424683","0.978401946866761"
"MNIST","feed","Standard","4","6","LiRPA","10","14","9063","0","0","503.389847993851","0.977601235793887"
"MNIST","feed","Standard","4","6","LiRPA","20","14","9099","0","0","501.282658100128","0.977689856028135"
"MNIST","feed","Standard","4","6","LiRPA","30","14","9099","0","0","499.446742296219","0.977689856028135"
"MNIST","feed","Standard","4","6","LiRPA","40","14","9099","0","0","499.482051372528","0.977689856028135"
"MNIST","feed","Standard","4","6","LiRPA","50","14","9083","0","0","498.532330989838","0.977650555983706"
"MNIST","feed","Standard","4","6","PGD","10","44","9854","0","0","10.1476540565491","0.979399228739598"
"MNIST","feed","Standard","4","6","PGD","20","42","9854","0","0","10.0749258995056","0.979399228739598"
"MNIST","feed","Standard","4","6","PGD","30","42","9854","0","0","9.76524686813354","0.979399228739598"
"MNIST","feed","Standard","4","6","PGD","40","40","9854","0","0","9.92356634140015","0.979399228739598"
"MNIST","feed","Standard","4","6","PGD","50","42","9854","0","0","10.2097299098969","0.979399228739598"
"MNIST","feed","TRADES","0","6","LiRPA","10","7","8020","11","0.00105770360794453","505.429472446442","0.915586034912718"
"MNIST","feed","TRADES","0","6","LiRPA","20","7","7972","16","0.00130276185513288","503.696957826614","0.915077772202709"
"MNIST","feed","TRADES","0","6","LiRPA","30","7","8014","11","0.00105770360794453","499.742446899414","0.915522835038682"
"MNIST","feed","TRADES","0","6","LiRPA","40","6","7988","7","0.000600096015362458","500.27775144577","0.915247871807712"
"MNIST","feed","TRADES","0","6","LiRPA","50","7","7981","7","0.000600096015362458","499.428206920624","0.915173537150733"
"MNIST","feed","TRADES","0","6","PGD","10","20","9039","18","0.00846023688663283","15.6212313175201","0.925102334329019"
"MNIST","feed","TRADES","0","6","PGD","20","20","9038","15","0.00846023688663283","15.5946238040924","0.92509404735561"
