"time","acc","opt_func","seed","rob_beta","map_size","valid_preds","total_counterexamples","relative_error"
"628","7672","AT","42","0.1","25","9830","1","0.000357525920629246"
"685","6756","AT","42","0.2","27","9840","6","0.014792899408284"
"890","6941","AT","42","0.5","33","9837","0","0"
"954","8162","AT","42","1","28","9840","1","0.00126742712294043"
"1189","7913","AT","42","2","32","9842","2","0.000834724540901503"
"652","8231","AT","666","0.1","13","9802","1","0.000307125307125307"
"665","6542","AT","666","0.2","22","9803","2","0.00027359781121751"
"1023","7309","AT","666","0.5","30","9822","1","0.00137174211248285"
"1098","7064","AT","666","1","34","9855","0","0"
"1279","8240","AT","666","2","40","9823","3","0.000613685179502915"
"657","6730","AT","69","0.1","31","9833","6","0.00104004160166407"
"702","6428","AT","69","0.2","25","9791","1","0.000395882818685669"
"655","8364","AT","69","0.5","16","9802","4","0.000856898029134533"
"1040","8177","AT","69","1","35","9828","2","0.00249376558603491"
"1261","7938","AT","69","2","49","9852","4","0.00526315789473684"
"372","7135","Standard","42","0.1","13","9747","0","0"
"378","7605","Standard","666","0.1","14","9718","0","0"
"628","4964","Standard","666","0.2","12","9842","1","0.000255297421496043"
"455","4897","Standard","69","0.1","13","9805","1","0.000442477876106195"
